艾
爱
哀
爱新觉罗 AI XIN JUE LUO
哀牢 AILAO 
艾山 AISHAN
岸然 AN
铵 AN
安 AN
岸 AN 
安陵 AN
安阳 AN
安国 AN
卬 ANG
昂 ANG 
盎 ANG
凹 AO
奥屯 AO
澳 AO
熬 AO 
奥 AO
敖 AO
奧 AO
傲 AO
隞 AO 
奥敦 AO DUN
突厥阿史那 ASHINA 
巼 ba
灞 ba
捌 BA 
笆 BA
巴 BA
霸 BA
仈 BA
把 BA 
八 BA
柏 BAI
拜 BAI
摆 BAI
百 BAI 
白 BAI
白岳 BAI
百里 BAI LI
白马 BAIMA
把利 BALI 
巴林 BALIN
巴邻 BALING
般 BAN
板 BAN
坂 
班 BAN
办 BAN
昄 BǎN
邦 BANG
傍 BANG 
蒡 BANG
褒 BAO
宝 BAO
保 BAO
暴 BAO 
包 BAO
鲍 BAO
抱 BAO
雹 BAO
报 BAO 
豹 BAO
北堂 BEI
北烈 BEI
貝 BEI
北冥 BEI 
悲 BEI
北泽 BEI
北海 BEI
贝 BEI
邶 BEI 
卑 BEI
北 BEI
北羽 BEI
北野 BEI
北里 BEI 
北鄙 BEI
北殷 BEI
北宫 BEI GONG
北唐 BEI TANG
北门 BEIMEN 
奔 BEN
本 BEN
贲 BEN
甏 beng
薜 bi 
俾 BI
鄙 BI
闭珊 BI
辟 BI
碧咸 BI 
赑 bi
毴 BI
闭 BI
比 BI
必 BI 
邲 BI
毕 BI
笔 BI
比干 BI
蔽 BI 
碧 BI
鼻 BI
弊 BI
碧鲁 BI LU
卞 BIAN 
边 BIAN
扁 BIAN
标 BIAO
彪 BIAO
表 BIAO 
婊 biao
標 biao
杓 biao
別 bie
膑 bin 
髌 bin
宾牟 BIN
宾 BIN
彬 BIN
兵 BING 
冰 BING
并 BING
丙 BING
炳 BING
邴 BING 
秉 BING
博罕岱 BO
莽努特 BO
博鲁特 BO
伯父 BO 
伯里 BO
波瓦 BO
铂 BO
薄 BO
播 BO 
泊 BO
博 BO
伯 BO
波 BO
帛 BO 
伯比 BO
伯常 BO
伯牙吾台 BO
钵 BO
孛 BO 
伯高 BO
伯昏 BO
博尔济吉特 BO ER JI JI TE
博尔济锦 BO ER JI JIN
孛尔只斤 BO ER ZHI JIN 孛儿只斤 BOERZHIJIN
梅 BOEY
孛术鲁 BOZHULU 
布兰科 BU
卟 bu 步大汗 BU
布仁玺黑格 BU
步 BU
卜 BU
布 BU 
部 BU
补 BU
步禄孤 BU
步六孤 BU 
材 CAI
蔡林 CAI
才旦 CAI
菜 CAI
采 CAI
彩 CAI 
才 CAI
蔡 CAI
财 CAI
剼 CAN
参 CAN 
苍 CANG
藏 CANG
仓 CANG
苍梧 CANG
草蒺 CAO 
草 CAO
漕 CAO
曹 CAO
鄵 CàO
册 CE 
策 CE
恻 CE
侧 CE
厕 CE
岑 CEN 
茶 CHA
察 CHA
插 CHA
姹 CHA
察哈尔 CHA 
茬 CHA
岔 CHA
侪 CHAI
柴 CHAI
虿 CHàI 
产 CHAN
镡 CHAN
禅 CHAN
